Rank,CCA3,Country,Capital
36,AFG,Afghanistan,Kabul
138,ALB,Albania,Tirana
34,DZA,Algeria,Algiers
213,ASM,American Samoa,Pago Pago
203,AND,Andorra,Andorra la Vella
42,AGO,Angola,Luanda
224,AIA,Anguilla,The Valley
201,ATG,Antigua and Barbuda,Saint Johnâ€™s
33,ARG,Argentina,Buenos Aires
140,ARM,Armenia,Yerevan
198,ABW,Aruba,Oranjestad
55,AUS,Australia,Canberra
99,AUT,Austria,Vienna
91,AZE,Azerbaijan,Baku
176,BHS,Bahamas,Nassau
154,BHR,Bahrain,Manama
8,BGD,Bangladesh,Dhaka
186,BRB,Barbados,Bridgetown
96,BLR,Belarus,Minsk
81,BEL,Belgium,Brussels
177,BLZ,Belize,Belmopan
77,BEN,Benin,Porto-Novo
206,BMU,Bermuda,Hamilton
165,BTN,Bhutan,Thimphu
80,BOL,Bolivia,Sucre
137,BIH,Bosnia and Herzegovina,Sarajevo
144,BWA,Botswana,Gaborone
7,BRA,Brazil,Brasilia
221,VGB,British Virgin Islands,Road Town
175,BRN,Brunei,Bandar Seri Begawan
108,BGR,Bulgaria,Sofia
58,BFA,Burkina Faso,Ouagadougou
78,BDI,Burundi,Bujumbura
73,KHM,Cambodia,Phnom Penh
53,CMR,Cameroon,Yaounde
39,CAN,Canada,Ottawa
171,CPV,Cape Verde,Praia
205,CYM,Cayman Islands,George Town
117,CAF,Central African Republic,Bangui
69,TCD,Chad,N'Djamena
65,CHL,Chile,Santiago
1,CHN,China,Beijing
28,COL,Colombia,Bogota
163,COM,Comoros,Moroni
223,COK,Cook Islands,Avarua
124,CRI,Costa Rica,San JosÃ©
130,HRV,Croatia,Zagreb
85,CUB,Cuba,Havana
189,CUW,Curacao,Willemstad
158,CYP,Cyprus,Nicosia
88,CZE,Czech Republic,Prague
115,DNK,Denmark,Copenhagen
160,DJI,Djibouti,Djibouti
204,DMA,Dominica,Roseau
84,DOM,Dominican Republic,Santo Domingo
15,COD,DR Congo,Kinshasa
67,ECU,Ecuador,Quito
14,EGY,Egypt,Cairo
112,SLV,El Salvador,San Salvador
152,GNQ,Equatorial Guinea,Malabo
132,ERI,Eritrea,Asmara
156,EST,Estonia,Tallinn
159,SWZ,Eswatini,Mbabane
12,ETH,Ethiopia,Addis Ababa
231,FLK,Falkland Islands,Stanley
209,FRO,Faroe Islands,TÃ³rshavn
162,FJI,Fiji,Suva
118,FIN,Finland,Helsinki
23,FRA,France,Paris
184,GUF,French Guiana,Cayenne
183,PYF,French Polynesia,Papeete
146,GAB,Gabon,Libreville
142,GMB,Gambia,Banjul
131,GEO,Georgia,Tbilisi
19,DEU,Germany,Berlin
47,GHA,Ghana,Accra
219,GIB,Gibraltar,Gibraltar
90,GRC,Greece,Athens
208,GRL,Greenland,Nuuk
193,GRD,Grenada,Saint George's
178,GLP,Guadeloupe,Basse-Terre
191,GUM,Guam,HagÃ¥tÃ±a
68,GTM,Guatemala,Guatemala City
207,GGY,Guernsey,Saint Peter Port
75,GIN,Guinea,Conakry
149,GNB,Guinea-Bissau,Bissau
164,GUY,Guyana,Georgetown
82,HTI,Haiti,Port-au-Prince
89,HND,Honduras,Tegucigalpa
104,HKG,Hong Kong,Hong Kong
94,HUN,Hungary,Budapest
179,ISL,Iceland,ReykjavÃ­k
2,IND,India,New Delhi
4,IDN,Indonesia,Jakarta
17,IRN,Iran,Tehran
35,IRQ,Iraq,Baghdad
125,IRL,Ireland,Dublin
202,IMN,Isle of Man,Douglas
98,ISR,Israel,Jerusalem
25,ITA,Italy,Rome
52,CIV,Ivory Coast,Yamoussoukro
139,JAM,Jamaica,Kingston
11,JPN,Japan,Tokyo
195,JEY,Jersey,Saint Helier
83,JOR,Jordan,Amman
66,KAZ,Kazakhstan,Nursultan
27,KEN,Kenya,Nairobi
192,KIR,Kiribati,Tarawa
129,KWT,Kuwait,Kuwait City
110,KGZ,Kyrgyzstan,Bishkek
103,LAO,Laos,Vientiane
151,LVA,Latvia,Riga
119,LBN,Lebanon,Beirut
147,LSO,Lesotho,Maseru
121,LBR,Liberia,Monrovia
107,LBY,Libya,Tripoli
216,LIE,Liechtenstein,Vaduz
141,LTU,Lithuania,Vilnius
168,LUX,Luxembourg,Luxembourg
167,MAC,Macau,Concelho de Macau
50,MDG,Madagascar,Antananarivo
62,MWI,Malawi,Lilongwe
